企画番号,団体名,企画名,アイコン
I-001,iGEM Science Tokyo,iGEM縁日,https://api2025.jizi.jp/v1/plans/I-001/icon
I-002,アカペラサークルあじわい,あじわいアカペラライブ,https://api2025.jizi.jp/v1/plans/I-002/icon
I-003,アニメーション研究会,アニメーション上映会,https://api2025.jizi.jp/v1/plans/I-003/icon
I-004,*ArTe,飛び出す音符にタッチ！三次元リズムゲーム,https://api2025.jizi.jp/v1/plans/I-004/icon
I-005,SF研究会,ボードゲーム体験会と部誌販売,https://api2025.jizi.jp/v1/plans/I-005/icon
I-006,SOS団東工大支部,SOS団コスプレ喫茶,https://api2025.jizi.jp/v1/plans/I-006/icon
I-007,演劇研究部ツバクラメ,演劇研究部ツバクラメ秋公演,https://api2025.jizi.jp/v1/plans/I-007/icon
I-008,科学大囲碁部,囲碁サロン,https://api2025.jizi.jp/v1/plans/I-008/icon
I-009,科学大素数大富豪同好会,素数大富豪で遊ぼう,https://api2025.jizi.jp/v1/plans/I-009/icon
I-010,レゴ同好会,科学大レゴワールド2025,https://api2025.jizi.jp/v1/plans/I-010/icon
I-011,喫茶文化愛好会,喫茶ひばり,https://api2025.jizi.jp/v1/plans/I-011/icon
I-012,ScienceTechno,サイテクサイエンスラボ,https://api2025.jizi.jp/v1/plans/I-012/icon
I-013,C-lock-row,体験型謎解き公演,https://api2025.jizi.jp/v1/plans/I-013/icon
I-014,将棋部,将棋in工大祭,https://api2025.jizi.jp/v1/plans/I-014/icon
I-015,新聞部,工業大学新聞　工大祭特集号！,https://api2025.jizi.jp/v1/plans/I-015/icon
I-016,ゼロカーボンエネルギー研究所,放射線観察教室　～霧箱で見える世界～,https://api2025.jizi.jp/v1/plans/I-016/icon
I-017,TitechPoker ,let's play poker!,https://api2025.jizi.jp/v1/plans/I-017/icon
I-018,Taki Plaza Gardener,TPGカフェ,https://api2025.jizi.jp/v1/plans/I-018/icon
I-020,つばめ写真研究部,工大祭写真展,https://api2025.jizi.jp/v1/plans/I-020/icon
I-021,つばめ生協新入生サポートセンター,東京科学大学に行かがくちゃ！,https://api2025.jizi.jp/v1/plans/I-021/icon
I-022,つばめ美術部,夏の名残展,https://api2025.jizi.jp/v1/plans/I-022/icon
I-023,デザイン研究会,Café Astralis,https://api2025.jizi.jp/v1/plans/I-023/icon
I-024,デジタル創作同好会traP,traPalette,https://api2025.jizi.jp/v1/plans/I-024/icon
I-025,Tech-nation Records,Tech-nation Studio,https://api2025.jizi.jp/v1/plans/I-025/icon
I-026,鉄道研究部,工大祭れーるランド,https://api2025.jizi.jp/v1/plans/I-026/icon
I-027,天文研究部,天文博覧会,https://api2025.jizi.jp/v1/plans/I-027/icon
I-028,科学大アイドルマスター研究会テクマス,テクマス000プロダクション,https://api2025.jizi.jp/v1/plans/I-028/icon
I-029,東京科学大学裏千家茶道部,工大祭茶会,https://api2025.jizi.jp/v1/plans/I-029/icon
I-030,東京科学大学折紙同好会FIT,折紙作品展示会,https://api2025.jizi.jp/v1/plans/I-030/icon
I-031,東京科学大クイズ研究会,早押し概論演習,https://api2025.jizi.jp/v1/plans/I-031/icon
I-032,東京科学大学作問サークル,東京科学大学作問サークルの部屋,https://api2025.jizi.jp/v1/plans/I-032/icon
I-033,東京科学大学CCC,ぬいぐるみ病院～楽しくお医者さん体験！～,https://api2025.jizi.jp/v1/plans/I-033/icon
I-034,東工大漫研P-MAN,漫画喫茶P-MAN,https://api2025.jizi.jp/v1/plans/I-034/icon
I-035,東工プロジェクト,懐かしき東工の地,https://api2025.jizi.jp/v1/plans/I-035/icon
I-036,東洋思想研究会,Science Tokyo Diversity Goals,https://api2025.jizi.jp/v1/plans/I-036/icon
I-037,とこオケ 演奏喫茶,演奏喫茶,https://api2025.jizi.jp/v1/plans/I-037/icon
I-038,BEATECH,喫茶フルコンボ,https://api2025.jizi.jp/v1/plans/I-038/icon
I-039,評論クラブ,評論クラブ部誌配布,https://api2025.jizi.jp/v1/plans/I-039/icon
I-040,フォークソングサークル,FSC 工大祭ライブ,https://api2025.jizi.jp/v1/plans/I-040/icon
I-041,ボイテック,ぼにくらin工大祭,https://api2025.jizi.jp/v1/plans/I-041/icon
I-042,Poketech,ポケモンセンターメガトーコー,https://api2025.jizi.jp/v1/plans/I-042/icon
I-043,マジックサークル,マジシャンズチョイス,https://api2025.jizi.jp/v1/plans/I-043/icon
I-044,Mathtech,Mathtech,https://api2025.jizi.jp/v1/plans/I-044/icon
I-045,無線研究部,無線研究部展示2025,https://api2025.jizi.jp/v1/plans/I-045/icon
I-046,モダンジャズ研究会,JAZZ LIVE in 部室,https://api2025.jizi.jp/v1/plans/I-046/icon
I-047,ロス・ガラチェロス,ロスガラ喫茶,https://api2025.jizi.jp/v1/plans/I-047/icon
I-048,ロボット技術研究会,ロボット技術展,https://api2025.jizi.jp/v1/plans/I-048/icon
I-049,東京科学大学Meister,鳥人間の巣,https://api2025.jizi.jp/v1/plans/I-049/icon
I-050,東京科学大Mets,毎年恒例！Metsのストラックアウト,https://api2025.jizi.jp/v1/plans/I-050/icon
I-051,みらいリビングラボ,未来のくらしをのぞく展,https://api2025.jizi.jp/v1/plans/I-051/icon
L-101,陣内研究室・久世研究室,宇宙の根源に迫る〜素粒子実験の世界〜,https://api2025.jizi.jp/v1/plans/L-101/icon
L-102,谷津研究室,僕らの衛星で挑む宇宙の最前線,https://api2025.jizi.jp/v1/plans/L-102/icon
L-103,ELSI Lab,ELSI工大祭,https://api2025.jizi.jp/v1/plans/L-103/icon
L-201,宮田研究室,みんなでデジタルキャンパスを作ろう,https://api2025.jizi.jp/v1/plans/L-201/icon
L-202,山岡研究室,遅延体験ゲーム,https://api2025.jizi.jp/v1/plans/L-202/icon
L-203,高橋研究室・ティエム研究室,研究室公開,https://api2025.jizi.jp/v1/plans/L-203/icon
L-204,尾形研究室,暗号使って何ができる？,https://api2025.jizi.jp/v1/plans/L-204/icon
L-205,一色研究室,C言語で作る専用プロセッサ,https://api2025.jizi.jp/v1/plans/L-205/icon
L-206,山田研究室,信号処理のアルゴリズムで何ができるの？,https://api2025.jizi.jp/v1/plans/L-206/icon
L-207,千葉・清田研究室,磁石の力で浮くモータの体験,https://api2025.jizi.jp/v1/plans/L-207/icon
